Fecha,DescripcionES,DescripcionEU,LugarES,LugarEU,Territorio,CodigoEustat,Latitud,Longitud,calendar-uri
2017-06-24,San Juan,San Juan,Hernani,Hernani,Gipuzkoa,40,43.267549,-1.975814,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-08-16,La Virgen,Andra Mari,Hernialde,Hernialde,Gipuzkoa,41,43.154467,-2.085025,http://opendata.eurohelp.es/jaiegunak/Andra-Mari
2017-09-08,Virgen de Guadalupe,Ama Guadalupekoa,Hondarribia,Hondarribia,Gipuzkoa,36,43.362531,-1.791498,http://opendata.eurohelp.es/jaiegunak/Ama-Guadalupekoa
2017-08-24,San Bartolomé,San Bartolome,Ibarra,Ibarra,Gipuzkoa,42,43.132345,-2.065462,http://opendata.eurohelp.es/jaiegunak/San-Bartolome
2017-02-03,San Blas,San Blas biharamuna,Idiazabal,Idiazabal,Gipuzkoa,43,43.011782,-2.234214,http://opendata.eurohelp.es/jaiegunak/San-Blas-biharamuna
2017-08-10,San Lorenzo,San Lorentzo,Ikaztegieta,Ikaztegieta,Gipuzkoa,44,43.09496,-2.1239,http://opendata.eurohelp.es/jaiegunak/San-Lorentzo
2017-06-30,San Marcial,San Martzial,Irun,Irun,Gipuzkoa,45,43.338233,-1.789272,http://opendata.eurohelp.es/jaiegunak/San-Martzial
2017-09-29,San Miguel,San Migel,Irura,Irura,Gipuzkoa,46,43.165688,-2.069616,http://opendata.eurohelp.es/jaiegunak/San-Migel
2017-09-22,Fiestas de septiembre,Iraileko jaiak,Itsasondo,Itsasondo,Gipuzkoa,47,43.066932,-2.167393,http://opendata.eurohelp.es/jaiegunak/Iraileko-jaiak
2017-08-03,San Esteban,San Esteban,Larraul,Larraul,Gipuzkoa,48,43.187739,-2.102534,http://opendata.eurohelp.es/jaiegunak/San-Esteban
2017-06-29,San Pedro,San Pedro,Lasarte,Lasarte,Gipuzkoa,902,43.267455,-2.020179,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-04-28,San Prudencio,San Prudentzio,Lazkao,Lazkao,Gipuzkoa,49,43.034324,-2.187379,http://opendata.eurohelp.es/jaiegunak/San-Prudentzio
2017-06-29,San Pedro,San Pedro,Leaburu,Leaburu,Gipuzkoa,50,43.124984,-2.052106,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-05-03,Santa Cruz,Santikutz,Legazpi,Legazpi,Gipuzkoa,51,43.054361,-2.333641,http://opendata.eurohelp.es/jaiegunak/Santikutz
2017-05-25,La Ascensión,Azintzio eguna,Legorreta,Legorreta,Gipuzkoa,52,43.085794,-2.150909,http://opendata.eurohelp.es/jaiegunak/Azintzio-eguna
2017-09-08,Virgen de Dorleta,Dorletako Ama Birjina,Leintz-Gatzaga,Leintz-Gatzaga,Gipuzkoa,68,42.987112,-2.568626,http://opendata.eurohelp.es/jaiegunak/Dorletako-Ama-Birjina
2017-09-14,Exaltación de la Sta Cruz,Gurutze Santuaren Gorespena,Lezo,Lezo,Gipuzkoa,53,43.321127,-1.898775,http://opendata.eurohelp.es/jaiegunak/Gurutze-Santuaren-Gorespena
2017-09-08,Fiesta local,Tokiko jaieguna,Lizartza,Lizartza,Gipuzkoa,54,43.10372,-2.034254,http://opendata.eurohelp.es/jaiegunak/Tokiko-jaieguna
2017-07-26,Santa Ana,Santa Ana,Mendaro,Mendaro,Gipuzkoa,901,43.264167,-2.3755,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-06-29,San Pedro,San Pedro,Mutiloa,Mutiloa,Gipuzkoa,57,43.02238,-2.272826,http://opendata.eurohelp.es/jaiegunak/San-Pedro
2017-09-14,Maria Madalena,Madalena,Mutriku,Mutriku,Gipuzkoa,56,43.307069,-2.385083,http://opendata.eurohelp.es/jaiegunak/Madalena
2017-08-03,San Esteban,Doneztebe,Oiartzun,Oiartzun,Gipuzkoa,63,43.299282,-1.857874,http://opendata.eurohelp.es/jaiegunak/Doneztebe
2017-06-24,San Juan,San Juan,Olaberria,Olaberria,Gipuzkoa,58,43.027075,-2.203089,http://opendata.eurohelp.es/jaiegunak/San-Juan
2017-09-29,San Miguel,San Migel,Oñati,Oñati,Gipuzkoa,59,43.032888,-2.411348,http://opendata.eurohelp.es/jaiegunak/San-Migel
2017-07-26,Santa Ana,Santa Ana,Ordizia,Ordizia,Gipuzkoa,76,43.054198,-2.178115,http://opendata.eurohelp.es/jaiegunak/Santa-Ana
2017-01-20,San Sebastián,San Sebastian,Orendain,Orendain,Gipuzkoa,905,43.079721,-2.11429,http://opendata.eurohelp.es/jaiegunak/San-Sebastian
